year,hectares,day_first_sighting,obs_37_norm,active_months_obs_norm,n_obs_total,bio_1_whole_range,bio_2_whole_range,bio_3_whole_range,bio_4_whole_range,bio_5_whole_range,bio_6_whole_range,bio_7_whole_range,bio_8_whole_range,bio_9_whole_range,bio_10_whole_range,bio_11_whole_range,bio_12_whole_range,bio_13_whole_range,bio_14_whole_range,bio_15_whole_range,bio_16_whole_range,bio_17_whole_range,bio_18_whole_range,bio_19_whole_range,bio_1_nrange,bio_2_nrange,bio_3_nrange,bio_4_nrange,bio_5_nrange,bio_6_nrange,bio_7_nrange,bio_8_nrange,bio_9_nrange,bio_10_nrange,bio_11_nrange,bio_12_nrange,bio_13_nrange,bio_14_nrange,bio_15_nrange,bio_16_nrange,bio_17_nange,bio_18_nrange,bio_19_nrange
1994,7.81,260,0.9309791332263242,0.9815409309791332,1246,11.909125023360495,13.279851311469882,34.11212263763794,939.3612382341216,30.480503670966957,-9.287580154910234,39.76808382640229,16.889353692698258,5.548702535007197,22.85669057576133,-0.3328124204638886,807.961753230976,158.56812314119753,16.97729062070055,69.32039395782128,326.5076784473154,98.83205229918072,254.8641292769051,143.87548564720572,8.286128040735848,13.166327750197468,30.333522054365044,1085.8599622920349,28.596132690843373,-15.22627545851709,43.822408146477976,15.680094143265663,-1.217225009215314,20.585549207852775,-6.003674196028859,636.1724475984657,134.96148412948847,10.557760248942584,73.78918924653438,273.6012821376688,63.525755212087184,228.09362638761442,87.56264961438485
1995,12.61,249,0.8632233381157342,0.9689143950263032,2091,11.689902690062452,13.084867391462959,34.88401357235348,913.3089955665787,31.70045913286979,-6.423049252041287,38.12350838465517,16.63626876325248,5.732849629734546,23.190433873541863,0.8027385870524171,814.281445550369,167.4264021666712,15.237291640426433,74.74597675157597,357.21977537353115,87.28013596524417,245.87478154035094,127.32195431673608,7.997299491339523,12.651988854308355,30.723364647280327,1035.3165889959714,30.030576156164937,-11.318437488920654,41.3490136445537,14.322269931366877,-1.289352542235498,21.268733333791005,-4.207373983926866,708.6670256721143,161.5418720662318,11.20517097011151,79.0110885038658,333.9726239876854,62.17850673494474,229.61062832227094,77.42858158369708
1996,18.19,221,0.825984868249413,0.9569527785024785,3833,11.035610998846185,13.210278340720254,34.180338563240674,963.6442533592455,30.553443794193456,-8.948853980453725,39.502297773105724,16.842318198746316,5.125473118795266,22.713689910683982,-0.30410431722148,810.6393754081718,157.30605599753412,14.683368241276487,72.40661977459663,342.429973090587,92.6132598433243,252.53255437357214,128.0254673777538,7.003092840929363,12.746325062592836,29.907065138573596,1107.740550869205,28.68772785969473,-14.43232716073853,43.12005502073152,14.572552089037236,-0.24036629855896036,20.506404802527275,-6.142550554806782,720.3554532959622,146.39125423028588,12.080277449904624,71.06672803281224,309.56464412560075,76.4579334611877,217.2064808926478,102.49749015705827
1997,5.77,86,0.8430840233473599,0.9805891136147685,7367,11.393037592770293,12.744616452777866,33.43230921192455,918.1677601243415,30.567126342804624,-8.328742975369186,38.89586931851713,16.868487891934464,6.756879789480926,22.52431336372013,0.24360356847064987,834.494162460824,152.05529095317323,17.506178522033373,64.79345647601095,335.4308759712637,102.96891008763515,240.84613933832665,175.47819906575492,7.85712889916958,12.525539152202983,29.665594075970628,1031.0507975270552,28.564368348566553,-13.981479477846094,42.545847825920355,16.453073291954862,-0.5395208469294911,20.42132388569501,-4.55855595318101,651.8420189605953,127.76223676401135,12.584821612393874,70.1969845992331,277.88806324838725,73.77757186697616,241.24763022529459,105.27114378403444
1998,5.56,50,0.6881188118811881,0.9306930693069307,202,12.940168028559496,12.735616500856723,35.24017947186286,898.3901827771119,31.65413715392027,-4.92329558807862,36.577432744910276,17.110344169988153,8.965851458999682,23.66040053246595,2.43929002330684,843.3385437524386,173.4686504210625,12.68002116754532,74.66772199807981,359.61286052470757,82.02949380580583,221.5032849773071,180.41151405809958,9.50654459942985,12.319039637826858,31.895928762870348,982.8348150400113,29.302324503606915,-9.582810928637358,38.88513543633851,16.87158241457728,1.1311529975756562,21.20624408730107,-1.905765562291538,734.4766041098804,148.643869174061,12.610015886183936,70.52943662831215,310.3346185198881,74.53660268328761,220.90670972683296,96.62118764306788
1999,9.05,7,0.672,0.8506666666666667,375,12.617044541429856,13.693677602242207,36.30015445707247,842.3078071680511,31.755824304775256,-6.6781835767699596,38.43400788209215,16.64920795356257,9.958486187689315,23.03816463486105,2.316281823220276,726.800951855442,152.95892023479968,10.907535426576274,80.52970952814404,333.8026672151031,70.29181706482758,245.41299932229379,137.79780639555935,9.20471367205013,13.265409039491542,32.402151136116665,942.2444267862751,29.841922883634506,-11.564676020896378,41.40659890448728,14.303791275756362,4.80529158486364,20.840309048269138,-2.4454112944519557,655.9531753721435,139.81094186627047,9.383900025075588,80.77619650732878,314.1033574839791,56.312495618825245,241.4133819848318,103.75921383185604
2000,2.83,249,0.9518072289156626,0.9839357429718876,249,12.109602710645802,13.48831976416571,33.368125930765366,960.9077004524455,31.771882315771073,-9.319977046222823,41.09185936484577,16.734081618983815,7.671099056177214,23.150597672819448,-0.15873535544523,725.7680391702819,152.6884295020045,10.01055627281634,75.7451353309869,311.17726471964244,74.36581716650242,209.74441320285445,147.0749037287745,8.509056674143455,13.17173438069433,30.083421291970154,1073.6456872321069,29.500401833847377,-14.497097179165031,43.997499016982424,16.28678242799815,-0.47428217334575856,20.821882549247245,-5.307903088394629,646.5911349328165,126.33548440126289,13.24480982016664,67.17774143641864,279.70130507288013,70.98627429628863,229.78246097874856,98.79263722073205
2001,9.35,NA,0.9580152671755725,0.9694656488549618,262,12.330068423547484,13.17135472506188,33.55783935109703,925.7536347771631,31.706116355769737,-8.098812409376816,39.80492876629463,17.04658735545756,6.990844021310202,23.37623519859944,0.6852667293554329,786.8933158061798,158.68845857042643,14.341771984603966,73.76522453033822,332.21478641361415,93.29806390327795,245.84013252354796,147.5068700387076,8.99035004601928,12.959737156244472,30.410035945287646,1038.8472192187521,30.158181184382602,-12.753169753228189,42.91135094262083,16.273854945642295,-0.6384106662848589,21.337750931644543,-4.263443668623279,668.2260753552507,138.03817054227787,10.746571674912094,76.52075417727228,298.3817821015092,67.90023128608077,225.54598967015204,90.39292431331442
2002,7.54,272,0.923728813559322,0.9957627118644068,236,12.015446451697544,13.130685885541293,34.83720414943926,929.3966515742643,32.08901401347111,-5.901728434677043,37.99074244691125,17.930264761602718,6.8789893946544005,23.666384527093943,1.4037495471567674,829.9391662836067,166.61055776830483,16.28288797059709,75.49024264181007,358.29345944764947,93.0107359702509,267.36088143790306,139.93514569076376,8.545657500641775,13.036465978370352,31.847090088203576,1026.968027579518,31.042543992085808,-9.839789920754281,40.882333914758284,16.3393500864142,0.8439571986934399,21.863385866034708,-2.7188085936482667,628.0747246401604,133.7853620157989,8.920953306130363,78.91142343612292,291.94152903991966,53.61148281391606,226.63071060882012,78.40757059930102
2003,11.52,267,0.9432098765432099,0.980246913580247,405,11.899596283372327,13.173920928709652,33.34957922577936,940.2002069967153,31.939452876467076,-8.010622934487767,39.950075813831006,18.290092723689764,4.164402713688784,23.07563677572049,0.11467480364564403,805.8924118302627,158.92738055464434,13.790964079899247,73.95473636427668,342.64032647186156,89.92302738653353,274.19283875951254,124.207395770022,8.357810634873001,13.053906599295196,30.152660404040503,1059.1945444372022,30.796268094557025,-12.565809848831275,43.36207794691618,15.030114838998392,-1.4811398139370755,21.11879122983331,-4.590372821473179,666.745487200232,131.4653742977029,11.768595200963555,72.36311407461157,291.39793254653057,69.43120706627165,215.87917470816123,85.41912668842602
2004,2.19,116,0.9078498293515358,0.9658703071672355,293,11.898398316421918,12.71896996223705,34.790941426993555,877.5018541564466,29.34019019392983,-7.705676285365124,37.04586647937586,17.804180397999303,5.641284744380709,21.597232807235816,0.049264131523515706,912.6074232980338,180.21176822493555,14.326599560081862,69.8971938694897,372.03575472538216,102.90423598372954,288.49984578842606,143.22944245146934,8.382540947914698,12.717168032975527,31.799661424252452,973.5591388919794,27.39813014460744,-12.87459226781991,40.27272241603969,16.07280226388197,-0.8031432471189534,19.126877026073682,-4.753998552215356,735.7321476069142,148.3723245771873,11.078921200043398,72.37922638567898,312.1364503393311,74.11387755335204,245.04579011186252,86.6166820662569
2005,5.92,102,0.9326923076923077,0.9879807692307693,416,12.372890790142923,13.146647030308701,34.257814137861914,916.1632006797491,31.602077899117536,-7.3272192732595816,38.92929717235174,17.82983625304101,6.9736854847170715,23.356000130742576,1.060743519983483,771.2718585467496,158.80073701256921,9.971065300130155,73.98633110683562,328.7509006118661,84.27521437012972,271.50163766591913,146.34988117980745,8.98244622705179,12.886931877798252,30.775473148456072,1036.4335376964505,30.06586663998636,-12.015185418782016,42.08105205947778,15.030505992314986,1.7019225007140493,21.343780746957265,-3.992582154417384,685.9791296869201,147.6081228072665,12.43494993035645,74.73226181335838,302.1620960027698,74.95910885383047,248.64298145221127,113.00596679453596
2006,6.87,179,0.9326347305389222,0.9775449101796407,668,12.751414460271038,13.500192785565421,35.51998150937076,866.4394143968425,32.450534272824086,-6.14109679750184,38.59163107078323,17.642037065021118,7.853749745018999,23.751244696870565,2.4965570427056885,754.6866850742923,143.42820816055055,14.67024225423141,69.58300519632208,305.8683381301459,94.04080868953032,224.02655443668957,144.07662193604574,9.38283892679457,13.027377789676951,31.453120069248534,961.412485864387,31.123565719140128,-10.454646904765692,41.578212620309316,16.56212834752809,1.5201466882433026,21.781060873446197,-1.742178342441755,657.3986212911409,121.95992864743225,12.17823061716179,66.87027922813,262.50781038256804,81.7719813972805,206.17817812720872,98.05866157858084
2007,4.61,95,0.8827708703374778,0.9413854351687388,563,12.26571785134984,13.076550277306305,32.85412050284279,965.3152816477135,32.135816585178596,-8.368264265585792,40.50408085425713,17.121862664638755,8.029517869673393,23.408287159776204,-0.4565907880213555,818.2186285031626,168.96381394905856,11.210623570873642,71.97659754644042,350.5498029440544,92.3208305012559,264.5558287147657,159.55742089675266,8.851230494513924,12.873522968234692,29.063838438626235,1107.3299868640195,30.696230170343302,-13.64611226476368,44.34234243837089,14.6437252340515,2.3563390907859905,21.610732955518724,-5.86738742776563,731.6455098119086,156.49387747865342,10.287573029845802,73.72955864699864,317.30355738018704,79.98048220988298,233.9720820216852,125.4121768867423
2008,5.06,1,0.8717047451669596,0.9578207381370826,569,11.343595805328297,13.40598033822491,34.72231428184872,942.8264158581127,31.019298735420033,-8.21992380739573,39.2392225449776,16.359275236611136,5.561442567093833,22.777662872182354,-0.5856598774493061,864.8543344679607,179.84747094468688,14.188789997334501,77.81060926381637,376.6647212412316,88.34566244355582,278.2753095436568,159.0464392568497,7.52197428579768,12.992294794930652,30.640283991383846,1079.5282079432113,29.09689075117632,-13.442546708044881,42.53943746190307,14.028700906002896,-0.17272809405941392,20.4729735767255,-6.4027298846257175,792.9408279586615,164.41308332081766,12.867552769190592,75.62283147545655,348.87989702848483,73.86006880544826,254.5829944697017,131.1088504348065
2009,1.92,42,0.8257425742574257,0.9148514851485149,505,11.414286663781992,12.895274594808047,33.4839933881695,919.0409699621214,29.72476250808148,-9.308182716518207,39.032945226317864,17.65360261740097,4.148242968308812,22.245490062213875,-0.36097681732596804,907.471168650624,177.27313533783783,14.730016737649994,70.72014532734173,367.29123045384466,104.97821979903678,254.69555104737523,147.84256414114705,7.569589840474126,12.53237291270755,29.91659064513186,1028.7046039330744,27.026378475225002,-15.068980375912501,42.0953588526421,15.65115154940761,-2.1876224646965055,19.46519729365657,-5.775164448319505,754.5433918006763,141.53117296355654,10.953271831888198,67.44947076128231,308.0787503651821,80.33032002750662,248.64419879199576,105.28726796069107
2010,4.02,159,0.88,0.9618181818181818,550,11.877778833725424,12.986232976155778,32.979705612774914,1018.8149360477212,31.605717471640723,-8.127872333760914,39.73358980692395,19.309157098522395,5.925975053143301,23.80399555334028,-1.5357487054115602,822.8720358992671,174.29221993989236,12.830309107780607,75.57833499736245,369.65683752492686,79.26944430363713,304.2239387694577,134.65626768257178,8.467216485239879,12.543497230650997,30.08758800711111,1106.4071673826072,29.49291233984083,-12.39971668172719,41.89262902312804,17.49969547037137,-0.5543123061452669,21.435520044286818,-6.291888482975074,769.9186403434973,169.31979095679446,12.003752776830702,78.44966247477504,372.4118788749401,64.10852916212649,311.96790141248954,86.80361882356037
2011,2.89,60,0.785472972972973,0.902027027027027,592,12.107607814683792,13.294996524685066,32.32770268317696,986.3204383909809,32.867110750261006,-8.798310555454076,41.66542130876044,16.35189239125972,8.540944628077563,24.308575179889676,-0.3467943565688064,794.0484463662619,164.96533398863602,13.265012385746104,78.07112431506042,350.03554211556633,90.5687690263149,218.0884608904531,146.98796964036433,8.289759757589596,12.569234257989764,28.46815167271615,1086.0062042232105,30.629866695918786,-13.637577901664837,44.26744460131474,15.007714245024745,1.8212578263590469,21.611643315559967,-5.34132715211446,774.4610023561252,162.25997375277743,13.865317557300237,75.21666513323841,353.74102788245887,85.4073654456111,238.6028191188656,114.17622348145338
2012,1.19,15,0.7663107947805456,0.9015421115065243,843,13.35770098451383,13.849128814563516,36.533304551142876,873.2376933275345,33.238197253686714,-5.146006688983187,38.38420394290895,17.925297174641845,9.063814264311864,24.03060252845464,2.306970822597474,693.9959947286179,140.12342872391662,11.052314354669493,74.29884537154773,296.2471324433403,77.96246920141678,208.1026557424105,138.03619401464164,10.054946622783751,13.796052100657164,32.98173392260809,985.2829516646838,32.299070885073924,-9.526203493781358,41.82527438046056,15.58882858723231,4.438139334956516,22.219768180111767,-2.4534940722913396,560.3514953141737,113.61927033718723,8.89971834188142,72.9625366695258,243.80916304584755,64.21368956866873,159.62769438365186,98.54629100346247
2013,0.67,18,0.5501813784764208,0.7896009673518742,827,11.352718158672218,12.770766289868059,34.07261085737061,964.2858352735803,30.381424298501983,-7.776262079440776,38.15768638082033,17.394602527203812,7.104228898398502,22.908045445150332,-0.12257501599396195,902.562442883313,179.1418752090107,16.861963645815496,73.83262916415383,389.3590411534204,102.7472820842678,275.41058287999687,177.9665420518328,7.6272494633373755,12.520609603574476,30.32970116262191,1096.4515216021036,28.53688283654371,-13.002048605052394,41.53893144434331,15.321667332928849,0.563645613115226,20.746733906678944,-5.474503271152332,777.3686599130453,160.40399639061323,15.43176423447712,73.84281629736437,347.39180452614517,84.25631908347037,229.4995849797053,113.34350769235323
2014,1.13,54,0.5277217741935484,0.8004032258064516,1984,11.082118121796386,12.96761687468186,32.69234468375094,979.6007000927021,30.07560959257605,-10.121701113489085,40.197310706571955,18.659118494485462,3.0955455131829157,22.469937680534727,-0.7973947405107912,835.3286254616434,174.61244022687023,18.21901341141573,77.5054825888448,367.23976132340084,94.35049786345361,298.0573736208849,124.26203429642507,7.265682932949818,12.66050398980833,29.61889061663172,1105.5216920563728,27.899238949909023,-15.135245758668407,43.0344847103407,16.814154642404958,-3.544060395881859,20.11112942774675,-6.2964343974070625,743.5941541415443,165.75531961492302,15.17253845807979,79.68253941202167,344.03054600261913,73.68238140807185,305.7953617494638,91.50866062850933
2015,4.01,7,0.465642683912692,0.7844246833737537,3711,12.494851208066503,12.741049853009892,32.89109357492685,928.3174358584109,30.52607405194782,-8.761711155888072,39.287785209213304,17.770284714674798,6.943974454606899,23.042030252192834,0.4640118602992426,990.5953769879816,205.55769725935485,17.140681814415338,73.81940192732262,427.5495678782224,99.5681045463497,282.1854550295099,161.69944512695622,9.033058498107762,12.760475490179614,30.4989250670224,1033.4648247983382,28.34290735883068,-13.96147355407995,42.30438091073557,16.721368191561993,-0.6788949416385736,20.67836754374515,-4.484343381085126,803.3568205261612,172.0918071941209,12.858488279476704,77.70272804145588,363.7113824143854,69.4962804809384,283.37242009915377,101.79174013169491
2016,2.91,7,0.3762585456805469,0.8084524549409571,8045,12.998219731337924,12.956388778539402,33.85289278543812,903.6621320361332,31.3442277687599,-7.159960175726768,38.50418794402944,18.668599439878427,6.353326633579337,23.677175403269498,1.0544182912959552,873.6357612203558,177.3731451468489,11.380346359643406,72.92818616179962,380.46008616905056,81.06093076351422,299.6677656898211,142.54026408138895,9.56798694445817,12.64476307791326,30.86131322527543,1008.4064933354724,29.148382677540024,-11.752906556951569,40.90128923363503,17.308726355199024,0.7218948376333799,21.47271123738975,-3.860927691839069,777.6990131168166,154.3937725384212,13.96131318943491,70.70103585387007,344.75257826277215,71.37085731622174,282.2700467074547,95.15169438861513
2017,2.48,1,0.5345357119519049,0.8663660720120238,15303,12.73875557968139,12.991516032406048,35.75985227778743,841.7790142673429,31.3214680530047,-5.662859030525148,36.984327082302165,18.12514493879687,6.978485129336812,22.881268989764784,2.3386471608505683,870.4095884535876,179.04359087518716,13.311907232384494,72.75166563671434,375.1705568107933,90.41115711052237,299.16635767754394,145.0611471571956,9.066395460352425,12.757916167219964,31.60369860757783,972.4649104408206,29.880239007410236,-10.632286623770565,40.512525632603236,14.754502531830843,1.4904354827237316,20.747406676258446,-2.8979265774312934,725.3129800085443,146.07233917778822,12.09141158135901,71.69261082574766,313.80333286246236,74.3030358898304,232.51245267670018,93.34970696144481
2018,6.05,9,0.5917685156168391,0.8850586719593301,28719,11.894736881977419,12.618920613204429,31.74964442697743,992.1331120887189,31.055458871756198,-9.152025720421676,40.20748459388059,17.457963742226305,6.362939443324909,23.590917530383976,0.21558273824352722,986.8042996806045,192.4811325486237,21.600689457333193,71.41638618766848,408.6275412069903,123.5250876121906,290.69894217638233,194.8881186139939,8.047093650327476,12.386292855247104,28.929387028204314,1115.156485584317,29.026975886100928,-14.010782694734099,43.03775858221424,16.796609320900878,-1.0202528762691854,21.309594607440978,-4.906992702523504,830.489428643194,162.42022294496374,17.684936245518628,69.88990109226239,351.6851146764411,99.26732846642551,289.83149962111776,124.70753668580491
